"filename", "language", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "CSS", "TypeScript React", "comment", "blank", "total"
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\deleteSerious.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\getOneSerious.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\getSerious.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\inspection\[id].ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\search.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\serious.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\upload.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 7, 31
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\user\[id].ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\dell\Desktop\node.js\eam\front\pages\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\dell\Desktop\node.js\eam\front\pages\inspect\index.module.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\dell\Desktop\node.js\eam\front\pages\inspect\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 68, 0, 1, 69
"c:\Users\dell\Desktop\node.js\eam\front\pages\meta\index.module.css", "CSS", 0, 0, 0, 0, 32, 0, 0, 0, 32
"c:\Users\dell\Desktop\node.js\eam\front\pages\meta\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 275, 4, 7, 286
"c:\Users\dell\Desktop\node.js\eam\front\pages\register\index.module.css", "CSS", 0, 0, 0, 0, 32, 0, 0, 1, 33
"c:\Users\dell\Desktop\node.js\eam\front\pages\register\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 109, 0, 6, 115
"c:\Users\dell\Desktop\node.js\eam\front\pages\styles.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\dell\Desktop\node.js\eam\front\pages\system\[id].tsx", "TypeScript React", 0, 0, 0, 0, 0, 82, 0, 5, 87
"c:\Users\dell\Desktop\node.js\eam\front\pages\system\index.module.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\dell\Desktop\node.js\eam\front\store\index.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 7, 25
"c:\Users\dell\Desktop\node.js\eam\front\store\types.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\dell\Desktop\node.js\eam\front\store\user.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 15, 68
"c:\Users\dell\Desktop\node.js\eam\front\tsconfig.json", "JSON with Comments", 30, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\dell\Desktop\node.js\eam\front\utils\axios.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 12, 57
"c:\Users\dell\Desktop\node.js\eam\front\utils\cookie.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\dell\Desktop\node.js\eam\front\utils\store.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 5, 37
"Total", "-", 30, 348, 41, 11, 122, 1564, 25, 198, 2339
